,url,headline,is_paid,date_published,channel,original_headline,newspaper,corona_score,vaccine
443,https://www.spiegel.de/politik/ausland/belarus-mehr-als-hundert-festnahmen-bei-protesten-gegen-alexander-lukaschenko-a-45345d12-8cd5-4077-9bb2-fc35a96a4b8b,belarus mehr hundert festnahmen protesten lukaschenkos regime,False,2021-03-27,Politik,Belarus Mehr als hundert Festnahmen bei Protesten gegen Lukaschenkos Regime,Der Spiegel,0.7142857142857143,n/a
445,https://www.spiegel.de/panorama/zeitumstellung-2021-die-uhren-wurden-auf-sommerzeit-umgestelltrgestellt-a-bedd7468-bd4d-4469-83d7-ce5da3072b06,nacht sonntag uhren werden umstellen,False,2021-03-27,Panorama,In der Nacht auf Sonntag Die Uhren wurden umgestellt,Der Spiegel,0.6,n/a
446,https://www.spiegel.de/politik/ausland/corona-in-osteuropa-die-dritte-pandemiewelle-trifft-polen-tschechien-und-ungarn-hart-a-01587bc8-b2c0-4608-bef4-510755b70f66,corona osteuropa bergamo ungarn,False,2021-03-27,Politik,Corona in Osteuropa Bergamo in Ungarn,Der Spiegel,1.0,n/a
447,https://www.spiegel.de/politik/deutschland/mecklenburg-vorpommern-verschaerft-coronamassnahmen-ausgangsbeschraenkungen-moeglich-a-dd74d240-a7dd-4817-917e-cfb1c3ea4a30,dritt wellen deutschland mecklenburg vorpommern verschärfen coronamaßnahmen,False,2021-03-27,Politik,Dritte Welle in Deutschland Mecklenburg Vorpommern verschärft Coronamaßnahmen,Der Spiegel,0.7142857142857143,n/a
452,https://www.spiegel.de/politik/deutschland/olaf-scholz-spd-kanzlerkandidat-spricht-sich-fuer-gemeinsame-eu-armee-aus-a-fe1c9fad-a738-463c-ba0a-f5319adccbd6,spd kanzlerkandidat olaf scholz sprechen eu armee,False,2021-03-27,Politik,SPD Kanzlerkandidat Olaf Scholz spricht sich für EU Armee aus,Der Spiegel,0.8571428571428571,n/a
454,https://www.spiegel.de/politik/ausland/fast-90-tote-bislang-blutigster-tag-seit-beginn-der-proteste-in-myanmar-a-78535561-5c58-425c-b588-e18ba4530c47,seit beginn proteste bislang blutig tag myanmar mindestens 89 tot,False,2021-03-27,Politik,Seit Beginn der Proteste Bislang blutigster Tag in Myanmar mit mindestens 89 Toten,Der Spiegel,0.8,n/a
457,https://www.spiegel.de/politik/ausland/uno-fluechtlingshilfswerk-zaehlt-hunderte-mutmassliche-pushbacks-a-01b3fb03-0af7-4643-aa48-e217729716eb,griechenland setzen menschen meer uno flüchtlingshilfswerk zählen hunderte mutmaßlich pushbacks,False,2021-03-27,Politik,Griechenland setzt Menschen auf dem Meer aus Uno Flüchtlingshilfswerk zählt Hunderte mutmaßliche Pushbacks,Der Spiegel,0.7,n/a
459,https://www.spiegel.de/politik/ausland/tansania-samia-suluhu-hassan-ist-eine-chance-fuer-das-land-a-f5fed0eb-eef9-49e8-92f0-80bfe0c9007c,erste frau spitz chance tansania,False,2021-03-27,Politik,Erste Frau an der Spitze Eine Chance für Tansania,Der Spiegel,0.8,n/a
460,https://www.spiegel.de/wissenschaft/medizin/corona-gibt-es-einen-treiber-der-pandemie-a-a6ff7a40-26bb-4732-9657-e732024f191c,drosten ciesek antworten geben treiber pandemie,False,2021-03-27,Wissenschaft,Drosten und Ciesek antworten Gibt es Treiber der Pandemie,Der Spiegel,1.0,n/a
462,https://www.spiegel.de/politik/deutschland/coronavirus-jens-spahn-spricht-sich-fuer-richtiges-runterfahren-aus-a-4640db00-d9a4-48d2-99af-3faf740d8f93,dritt wellen deutschland spahn sprechen richtig runterfahren,False,2021-03-27,Politik,Dritte Welle in Deutschland Spahn spricht sich für richtiges Runterfahren aus,Der Spiegel,1.0,n/a
465,https://www.spiegel.de/panorama/coronavirus-und-pflegeheime-nach-der-impfung-ein-wenig-mehr-freiheit-a-3622cc7d-ec92-4d0d-866f-e51b5a9f188d,pflegeheime impfung neue frau kniffeln finden,False,2021-03-27,Panorama,Pflegeheime nach der Impfung Ich habe jetzt eine neue Frau zum Kniffeln gefunden,Der Spiegel,1.0,n/a
466,https://www.spiegel.de/auto/pop-up-radwege-wer-gewinnt-den-platzstreit-in-deutschlands-staedten-a-7009dd95-b5c5-4175-9e1f-3e760ff42f5b,platzstreit deutschlands städten fahrrad suchen,False,2021-03-27,Mobilität,Platzstreit in Deutschlands Städten Fahrrad sucht Weg,Der Spiegel,0.8,n/a
468,https://www.spiegel.de/politik/deutschland/gierige-abgeordnete-von-cdu-und-csu-in-der-coronakrise-gefaehrden-der-ruf-der-union-als-wirtschaftspartei-a-7a669f8a-0002-0001-0000-000176746211,corona korruption wirtschaftspartei,False,2021-03-27,Politik,Corona und Korruption Unsere Wirtschaftspartei,Der Spiegel,1.0,n/a
470,https://www.spiegel.de/politik/ausland/syrien-baschar-al-assad-beliefert-libanon-mit-sauerstoff-wegen-corona-welche-motive-stecken-dahinter-a-0d1623f4-d353-41ca-9100-93b5c951256e,syrien unterstützen libanon assads sauerstoff deal,False,2021-03-27,Politik,Syrien unterstützt den Libanon Assads Sauerstoff Deal,Der Spiegel,0.6666666666666666,n/a
471,https://www.spiegel.de/politik/deutschland/corona-politik-notbremse-osterruhe-gottvertrauen-die-staerksten-o-toene-dieser-chaoswoche-a-5c2c73ad-2647-4186-9e13-c7350e33bd95,krisenpolitik groß corona heckmeck,False,2021-03-27,Politik,Krisenpolitik Der große Corona Heckmeck,Der Spiegel,1.0,n/a
473,https://www.spiegel.de/politik/deutschland/coronavirus-fragerunde-zum-schutz-vor-corona-infektionen-livestream-a-271689df-a3b4-4fe4-a6d5-1478af1de448,bürgerbefragung jens spahn sollen impfungen selbsttests wissen,False,2021-03-27,Politik,Bürgerbefragung mit Jens Spahn Das sollten Sie über Impfungen und Selbsttests wissen,Der Spiegel,1.0,n/a
474,https://www.spiegel.de/wirtschaft/service/mark-branson-kann-der-neue-bafin-chef-die-verbraucher-besser-schuetzen-kolumne-a-bdddcd2f-31d1-4f40-bfc6-00083117df2e,mark branson neue bafin chef verbraucher gut schützen,False,2021-03-27,Wirtschaft,Mark Branson Kann der neue Bafin Chef die Verbraucher besser schützen,Der Spiegel,0.75,n/a
475,https://www.spiegel.de/wirtschaft/soziales/usa-und-die-1400-dollar-corona-schecks-wohin-mit-dem-geld-vom-staat-a-8a7ee63a-e74a-49d6-a74b-58a75f2a89d0,1400 dollar schecks usa wohin geld staat,False,2021-03-27,Wirtschaft,1400 Dollar Schecks in den USA Wohin mit dem Geld vom Staat,Der Spiegel,0.7142857142857143,n/a
476,https://www.spiegel.de/politik/deutschland/corona-schnelltest-taskforce-von-jens-spahn-und-andreas-scheuer-beim-testen-durchgefallen-a-a8abfa76-cb7b-42e5-9c24-e0e810f13445,taskforce spahn scheuer beim testen durchfallen,False,2021-03-27,Politik,Taskforce von Spahn und Scheuer Beim Testen durchgefallen,Der Spiegel,1.0,n/a
477,https://www.spiegel.de/gesundheit/diagnose/israel-wie-die-impfkampagne-das-land-von-corona-befreit-sinkende-fallzahlen-trotz-lockerungen-a-5e08a9ab-408c-402d-ada1-9a72d02c1927,offen restaurants sinkend fallzahlen impfkampagne israel corona befreien,False,2021-03-27,Gesundheit,Offene Restaurants sinkende Fallzahlen Wie die Impfkampagne Israel von Corona befreit,Der Spiegel,1.0,n/a
478,https://www.spiegel.de/wissenschaft/mensch/corona-was-ueber-die-p-1-mutationen-bekannt-ist-a-f537225a-05bc-4779-a63c-e399a95af071,folgen p1 variante pandemie amazonas mutation vormarsch,False,2021-03-27,Wissenschaft,Folgen der P1 Variante für die Pandemie Amazonas Mutation auf dem Vormarsch,Der Spiegel,1.0,n/a
480,https://www.spiegel.de/kultur/chinas-aufstieg-kein-spaziergang-fuer-den-westen-kolumne-a-8418e97c-0a24-41cc-aec0-545827765b8b,chinas aufsteigen europa niedergang verdienen,False,2021-03-27,Kultur,Chinas Aufstieg Europa hat seinen Niedergang verdient,Der Spiegel,0.6,n/a
481,https://www.spiegel.de/wirtschaft/kloster-verkauft-mehr-als-zwei-tonnen-kaese-in-online-challenge-a-e9f63853-02dc-44b7-8244-706a6a4d60d6,absatzeinbruch wegen corona kloster verkaufen mehr zwei tonnen käse online challenge,False,2021-03-27,Wirtschaft,Nach Absatzeinbruch wegen Corona Kloster verkauft mehr als zwei Tonnen Käse in Online Challenge,Der Spiegel,1.0,n/a
482,https://www.spiegel.de/netzwelt/web/woran-sie-fake-bewertungen-im-internet-erkennen-koennen-a-bab935ac-5616-4b66-b973-cd1dabab3509,rezensionen amazon co woran fake bewertungen internet erkennen,False,2021-03-27,Netzwelt,Rezensionen bei Amazon und Co Woran Sie Fake Bewertungen im Internet erkennen können,Der Spiegel,0.75,n/a
484,https://www.spiegel.de/politik/ausland/bristol-proteste-gegen-polizeigesetz-zehn-festnahmen-nach-weiterer-chaotischer-nacht-a-c4c97f98-761e-4491-bf49-deae95e6052f,proteste polizeigesetz zehn festnahmen weit chaosnacht bristol,False,2021-03-27,Politik,Proteste gegen Polizeigesetz Zehn Festnahmen nach weiterer Chaosnacht in Bristol,Der Spiegel,0.5714285714285714,n/a
485,https://www.spiegel.de/panorama/gesellschaft/corona-wie-senioren-unter-der-pandemie-leiden-a-00a0470c-32aa-4c88-9019-6b18364ffe34,alt pandemie bisschen klönen gerade tief,False,2021-03-27,Panorama,Alte in der Pandemie Können wir ein bisschen klönen Ich habe gerade so ein Tief,Der Spiegel,1.0,n/a
489,https://www.spiegel.de/wissenschaft/technik/linguistik-in-hannover-wird-angeblich-das-korrekteste-deutsch-gesprochen-a-3d9351d7-eea2-47ce-8380-11a774329656,sprachwissenschaft wer sprechen rein hochdeutsch,False,2021-03-27,Wissenschaft,Sprachwissenschaft Wer spricht das reinste Hochdeutsch,Der Spiegel,0.6,n/a
