,title,subtitle,date_published,url,is_paid
55,"
							Niederlande und fast ganz Frankreich Risikogebiete
			        ","
						Polen war bisher das einzige Nachbarland Deutschlands ohne Corona-Risikogebiet. Damit ist es nun vorbei. Zudem sind Regionen in 15 Ländern nun auf der Risikoliste, erstmals auch Gebiete in Italien.

					",2020-10-15T17:48:33+0200,https://www.faz.net/premiumContent?contentId=1.7003793,false
56,"
							Wer des Königs Autokonvoi stört
			        ","
						Nach anhaltenden Protesten greift die Regierung in Thailand hart gegen die Demokratiebewegung durch. Zusammenkünfte von mehr als fünf Personen sind in Bangkok nun verboten. Aber viele junge Thais demonstrieren trotzdem weiter.


					",2020-10-15T17:47:55+0200,https://www.faz.net/suche/die-regierung-in-thailand-verhaengt-den-ausnahmezustand-17003617.html,true
57,"
							Bayern beschließt deutlich verschärfte Corona-Regeln
			        ","
						Die Ergebnisse der Bund-Länder-Beratungen gehen Markus Söder nicht weit genug. Er kündigt strengere Regeln für sein Bundesland an. Kritik an den Vereinbarungen zwischen Merkel und den Ministerpräsidenten kommt von der Opposition.
					",2020-10-15T17:38:59+0200,https://www.faz.net/premiumContent?contentId=1.7003428,false
58,"
							Panikprophylaxe
			        ","
						Wir brauchen Regeln, aber die richtigen. Beherbergungsverbote sind unsinnig. Warum beharren viele Politiker auf ihnen?

					",2020-10-15T17:19:47+0200,https://www.faz.net/premiumContent?contentId=1.7003441,false
59,"
							Klima des Misstrauens
			        ","
						Am Mittwoch verkündete Macron drastische Maßnahmen gegen Corona. Einen Tag später durchsuchen Fahnder die Wohnungen einiger Politiker. Ihnen wird Fahrlässigkeit im Umgang mit der Pandemie vorgeworfen.
					",2020-10-15T17:18:10+0200,https://www.faz.net/premiumContent?contentId=1.7003354,false
60,"
							„Wir befinden uns in vier verschiedenen Dramen“
			        ","
						Mit The National spielte er für Obama und Hillary Clinton. Nun veröffentlicht Matt Berninger in Ausnahmezeiten ein Solo-Album. Während „Serpentine Prison“ entstand, blickte der Sänger auf die Lage seines Landes.
					",2020-10-15T17:00:51+0200,https://www.faz.net/premiumContent?contentId=1.6997812,false
61,"
							Unternehmen stoppen Dienstreisen
			        ","
						Die Unsicherheit wächst: Deutschlands Betriebe reagieren auf die Coronagefahr mit Reiseverzicht und noch mehr Homeoffice. Das ergibt eine Umfrage der F.A.Z. In vielen Chefetagen dominiert die Schockstarre.

					",2020-10-15T16:54:26+0200,https://www.faz.net/suche/unternehmen-stoppen-dienstreisen-wegen-neuer-corona-infektionen-17003588.html,true
62,"
							Harris setzt Reisen im Wahlkampf wegen Corona-Fällen in ihrem Umfeld aus
			        ","
						Die demokratische Vizepräsidentschaftskandidatin absolviert bis Montag keine Wahlkampfreisen mehr, nachdem zwei ihrer Mitarbeiter positiv auf Covid-19 getestet wurden. Es sind die ersten bestätigten Infektionsfälle im Team von Joe Biden.
					",2020-10-15T16:47:18+0200,https://www.faz.net/premiumContent?contentId=1.7003479,false
63,"
							Nestlé sucht einen neuen Standort
			        ","
						Die Deutschland-Zentrale von Nestlé verlässt mit seinen 1000 Mitarbeitern die denkmalgeschützte Zentrale in Frankfurt-Niederrad. Der Konzern plant ein neues Domizil in der Heimatstadt des Firmengründers.
					",2020-10-15T16:43:55+0200,https://www.faz.net/suche/nestle-sucht-einen-neuen-standort-in-der-region-17003523.html,true
64,"
							„Und am Ende gewinnen die Deutschen“
			        ","
						Lange ist die niederländische Politik vor harten Maßnahmen bei der Pandemie-Bekämpfung zurückgeschreckt. Nun ist der Teil-Lockdown da. Die Bevölkerung reagiert gelassen – meistens.
					",2020-10-15T16:40:35+0200,https://www.faz.net/premiumContent?contentId=1.7003352,false
65,"
							Zweimal vier mal vier fürs Campen
			        ","
						Die Wohnmobile Karmann Dexter 4×4 und Tischer Trail basieren beide auf Technik von Ford. Sie bieten Allradantrieb und spannende Wohnraumlösungen.
					",2020-10-15T16:38:33+0200,https://www.faz.net/premiumContent?contentId=1.6997286,false
66,"
							Telefonische Krankschreibung wieder bundesweit möglich
			        ","
						Die Krankschreibungen gibt es jeweils für sieben Tage. Auch eine einmalige Verlängerung der Krankschreibung kann telefonisch ausgestellt werden.
					",2020-10-15T16:28:06+0200,https://www.faz.net/premiumContent?contentId=1.7003301,false
67,"
							Warum amerikanische Banken so viel mehr verdienen als deutsche
			        ","
						Amerikas größtes Geldhaus erzielt mittlerweile ähnlich viel Gewinn wie Apple. Die Deutsche Bank ist auf dem Weg der Besserung – aber weit abgeschlagen. Das hat mehrere Gründe.
					",2020-10-15T16:15:49+0200,https://www.faz.net/premiumContent?contentId=1.7003287,false
68,"
							Diese Maßnahmen ergreift das Ausland
			        ","
						Im Kampf gegen die zweite Corona-Welle gibt es nicht nur in Deutschland immer schärfere Maßnahmen: Auch in vielen Nachbarländern wurden zuletzt neue Regelungen eingeführt, die den Alltag der Menschen zunehmend einschränken. Ein Überblick von Spanien über die Niederlande bis Tschechien. 
					",2020-10-15T16:09:21+0200,https://www.faz.net/suche/corona-lage-in-europa-diese-massnahmen-ergreift-das-ausland-17003469.html,false
69,"
							Der City-Airbus bleibt am Boden
			        ","
						Verkehrsminister Andreas Scheuer stellte einst mit großem Bohei das Lufttaxi von Airbus vor – zum Missmut des Unternehmens. Nun wird das Projekt gestoppt.


					",2020-10-15T16:07:28+0200,https://www.faz.net/suche/warum-das-lufttaxi-projekt-von-airbus-eingestellt-wurde-17001796.html,true
70,"
							Was die Gerichtsurteile bedeuten
			        ","
						Das Beherbergungsverbot setzt den Hotels zu. In Baden-Württemberg und Niedersachsen haben es Gerichte schon gekippt. Dienen die Urteile nun als Vorbild für andere Bundesländer?
					",2020-10-15T15:48:42+0200,https://www.faz.net/premiumContent?contentId=1.7003294,false
71,"
							Remote retten und reparieren
			        ","
						Wenn im Homeoffice der PC streikt oder der Bürorechner auf Reisen gehen soll, kommt der helfende Mann vom Fach nicht mehr persönlich vorbei. Unternehmen wie Teamviewer oder Anydesk steuern aus der Ferne.  
					",2020-10-15T15:46:56+0200,https://www.faz.net/suche/fernwartungs-software-teamviewer-oder-anydesk-16997278.html,true
72,"
							Die Verbote müssen besser werden
			        ","
						Je mehr über das Virus bekannt ist, desto gezielter lässt es sich bekämpfen – und desto besser muss die Exekutive ihre Eingriffe begründen. Sie müssen sich gegen die Infektionsherde richten, um allgemein akzeptiert zu werden.
					",2020-10-15T15:41:43+0200,https://www.faz.net/premiumContent?contentId=1.7003222,false
73,"
							„Wir wollen ein Abkommen, aber natürlich nicht um jeden Preis“
			        ","
						In Brüssel hat der Europäische Rat begonnen. Die Regierungschefs sind mit den Fortschritten der Gespräche mit London nicht zufrieden, wollen aber trotzdem weiter verhandeln.
					",2020-10-15T15:41:40+0200,https://www.faz.net/premiumContent?contentId=1.7003344,false
74,"
							Wahlkampf in Zeiten der Pandemie
			        ","
						Die Popularität der Kommunalpolitik war schon immer gering. Die Corona-Pandemie wird es nochmals erschweren, Bürger für regionale Inhalte zu begeistern. Doch noch ist es früh genug, um digitale Formen zu entwickeln.
					",2020-10-15T15:37:33+0200,https://www.faz.net/premiumContent?contentId=1.7002314,false
75,"
							Hier ist nur Handball – aber wie!
			        ","
						Die Doku-Serie „Inside SG Flensburg-Handewitt“ präsentiert einen ehrlichen  und emotionalen Blick auf den Sport. Firlefanz und Glamour sind anderswo.
					",2020-10-15T15:18:39+0200,https://www.faz.net/premiumContent?contentId=1.7001903,false
76,"
							Strenge und Spiel
			        ","
						Ist das noch Fotografie? Die besten Ideen kommen Christiane Feser, wenn sie Schneidwerkzeug und Papier in der Hand hält. 
					",2020-10-15T15:17:52+0200,https://www.faz.net/premiumContent?contentId=1.6998733,false
77,"
							Mit Rollator und Klappstuhl gegen Netanjahu
			        ","
						Auch wenn es sie viel Kraft kostet, nehmen immer mehr Senioren an den Protesten gegen Israels Regierung teil. Die Gründergeneration sieht ihr Erbe in Gefahr.
					",2020-10-15T15:05:11+0200,https://www.faz.net/suche/warum-auch-israels-senioren-gegen-netanjahu-protestieren-17000184.html,true
